Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Bartel, Jimmy	3		-										5	-	2	-	2	-	-	-	6	18
Bews, Jed	-	-	-	-	-	-	1	-	-	1	-	-	-	-					-	-		2
Blease, Sam							-															
Blicavs, Mark	4	1	2	6	4	5	3	7	5	2	5	6	2	4	2	4	5	2	-	5	2	76
Caddy, Josh	2	4	1	5	5	7	8	8	9	2	7	6	2	12	4	6	5	2	2			97
Clark, Mitch	-	-	2	1		-	1	1	1													6
Cockatoo, Nakia	1	-	-	-		-										-	-	2	1	1	2	7
Cowan, Josh						-															-	
Duncan, Mitch	-	-	1	3	5	7	3							3	3	-	3					28
Enright, Corey	-	-	-	-	-	-	-	-	1	2	1	2	-	1	2	3	2	-	1	1	2	18
Gregson, Cory	-	1	2	-	-	-	-	-	-	2	-	2	-	-	-		-	-	1	-	1	9
Guthrie, Cameron	3	4	7	1	2	-	2	6	6	-	5	5	4	6	4	2	5	4	3	3	4	76
Hawkins, Tom	-	-		-	1	-		2	-	-	-	-	-	1	-	1	-	-	-	-	-	5
Horlin-Smith, George		2		-	-												1	3	5		3	14
Johnson, Steve	3	2	2	2	-	4	2	2	1	1	2	1	1	-	3	2		-	-	2	3	33
Kelly, James	1	3	2	-	1			2	2	3	1		3	2	2	2	-	-		1	5	30
Kersten, Shane					-	-	-	-	-	-	1	-		-	1	-						2
Kolodjashnij, Jake												-		1	-	1	-	-	-	-	-	2
Lang, Darcy	-	-	3	1	1	-	1	-	1	-	4	2	3	1	4	-	-	1	-	2		24
Lonergan, Tom	-	-	-		-	-	-	-	-	-	-	-	-	1	-	-	-		-	1	-	2
Luxford, Michael										1		-										1
Mackie, Andrew		-						-	-	-	-	-	-	1	-	-	-	1	1	1	-	4
Menzel, Daniel																				-	-	
Motlop, Steven	1		2	2	2	2	1	-	1	1	3	5	-	2	1	4	1	1	7	-	-	36
Murdoch, Jordan			2	1	-	-	1	-	-	-	1	2	-	3	1	1	1	-	5	-		18
Rivers, Jared	-			-	-	-	-	-	-	-	-	-	-					-				
Selwood, Joel	3	7	12	10	8	7	8	4	5	9	7	6	9		6	5	8	12	2	4	7	139
Simpson, Dawson	2	2			-								1									5
Smedts, Billie	-	-													-	-						
Stanley, Rhys		1	-	1		4	4	4	-		6											20
Stokes, Mathew	2	4	-				3	1	-	1	5	1	1	1			-	-			3	22
Taylor, Harry	-	-	1	-	-	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	1	4
Thurlow, Jackson			1	-	-	1	-	-	-	-	3	-	-	-	-	1	1	2	-	-	-	9
Vardy, Nathan																			3	-	1	4
Walker, Josh			-	1	-		1			3	6	2	-	1	-	1	-	1	-	-	-	16
Totals	25	31	40	34	29	38	39	37	32	28	57	40	31	40	36	33	34	31	31	21	40	727
Opponent	HW	FR	GC	NM	RI	CW	SY	CA	WC	ES	PA	ME	NM	WB	GW	BL	SY	HW	SK	CW	AD	
