Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Bartel, Jimmy	-		Off										-	-	-	-	-	-	-	-	-	0/1
Bews, Jed	-	-	-	-	-	-	-	-	-	-	-	-	-	-					-	-		
Blease, Sam							On															1/0
Blicavs, Mark	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Caddy, Josh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Off			0/1
Clark, Mitch	-	-	-	-		-	-	-	-													
Cockatoo, Nakia	-	On	On	-		On										On	Off	On	On	-	-	6/1
Cowan, Josh						Off															-	0/1
Duncan, Mitch	-	-	-	-	-	-	Off							-	-	-	-					0/1
Enright, Corey	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Gregson, Cory	On	-	-	-	-	-	-	-	-	-	-	-	-	Off	-		-	-	-	-	-	1/1
Guthrie, Cameron	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Hawkins, Tom	-	-		-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Horlin-Smith, George		-		-	On												On	-	-		-	2/0
Johnson, Steve	-	-	-	On	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	1/0
Kelly, James	-	-	-	-	Off			-	-	-	Off		On	-	-	-	-	Off		-	-	1/3
Kersten, Shane					-	-	-	-	-	Off	On	-		-	-	-						1/1
Kolodjashnij, Jake												-		-	-	-	-	-	-	-	-	
Lang, Darcy	-	-	-	-	-	-	-	Off	-	-	-	-	-	-	-	-	-	-	-	-		0/1
Lonergan, Tom	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	
Luxford, Michael										On		On										2/0
Mackie, Andrew		-						On	-	-	-	-	-	-	-	-	-	-	-	-	-	1/0
Menzel, Daniel																				-	Off	0/1
Motlop, Steven	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Murdoch, Jordan			-	-	-	-	-	-	-	-	-	Off	-	-	-	-	-	-	-	On		1/1
Rivers, Jared	-			-	-	-	-	-	-	-	-	-	-					-				
Selwood, Joel	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	
Simpson, Dawson	Off	Off			-								-									0/2
Smedts, Billie	-	-													On	-						1/0
Stanley, Rhys		-	-	-		-	-	-	Off		-											0/1
Stokes, Mathew	-	-	-				-	-	On	-	-	-	Off	On			-	-			-	2/1
Taylor, Harry	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Thurlow, Jackson			-	-	-	-	-	-	-	-	-	-	-	-	-	Off	-	-	-	-	-	0/1
Vardy, Nathan																			-	-	-	
Walker, Josh			-	Off	-		-			-	-	-	-	-	Off	-	-	-	-	Off	On	1/3
Totals																						
Opponent	HW	FR	GC	NM	RI	CW	SY	CA	WC	ES	PA	ME	NM	WB	GW	BL	SY	HW	SK	CW	AD	
