Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Bartel, Jimmy	1		-										-	-	-	-	-	-	-	-	-	1
Bews, Jed	-	-	-	-	-	-	-	-	-	-	-	-	-	-					-	-		
Blease, Sam							-															
Blicavs, Mark	8	3	12	14	15	6	14	15	25	15	20	25	11	31	33	19	20	21	12	13	11	343
Caddy, Josh	-	5	2	-	-	1	2	-	4	2	2	3	1	2	-	2	2	-	-			28
Clark, Mitch	2	3	1	2		1	1	3	2													15
Cockatoo, Nakia	-	-	-	-		-										-	-	-	-	-	-	
Cowan, Josh						-															-	
Duncan, Mitch	-	-	-	-	-	-	-							-	-	-	-					
Enright, Corey	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Gregson, Cory	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	
Guthrie, Cameron	-	-	-	-	-	-	-	-	1	-	-	-	1	-	2	1	2	1	-	-	-	8
Hawkins, Tom	-	-		-	-	-		-	-	-	-	1	-	-	-	-	-	-	-	-	-	1
Horlin-Smith, George		-		-	-												-	-	-		-	
Johnson, Steve	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-		-	-	-	-	1
Kelly, James	-	-	-	-	-			-	-	-	-		-	-	-	-	-	-		-	-	
Kersten, Shane					-	-	-	-	-	-	-	-		-	1	-						1
Kolodjashnij, Jake												-		-	-	-	-	-	-	-	-	
Lang, Darcy	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-		1
Lonergan, Tom	-	-	-		-	-	-	-	-	-	-	-	-	2	-	-	-		-	1	-	3
Luxford, Michael										-		-										
Mackie, Andrew		-						-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Menzel, Daniel																				-	-	
Motlop, Steven	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Murdoch, Jordan			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
Rivers, Jared	-			-	-	-	-	-	-	-	-	-	-					-				
Selwood, Joel	-	-	-	-	-	1	1	2	2	-	1	-	1		1	4	-	-	-	-	-	13
Simpson, Dawson	15	11			21								31									78
Smedts, Billie	-	-													-	-						
Stanley, Rhys		10	25	18		12	15	16	4		24											124
Stokes, Mathew	-	-	-				-	-	-	-	-	-	-	-			-	-			-	
Taylor, Harry	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Thurlow, Jackson			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Vardy, Nathan																			20	10	12	42
Walker, Josh			-	-	1		2			15	16	14	1	6	2	4	2	3	-	-	-	66
Totals	26	32	40	34	37	21	35	36	39	32	63	44	46	41	39	30	26	25	32	24	23	725
Opponent	HW	FR	GC	NM	RI	CW	SY	CA	WC	ES	PA	ME	NM	WB	GW	BL	SY	HW	SK	CW	AD	
