Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Bartel, Jimmy	-		-										-	1	-	-	-	-	-	-	-	1
Bews, Jed	-	-	-	-	-	-	-	1	-	1	-	-	-	-					-	-		2
Blease, Sam							-															
Blicavs, Mark	-	-	-	-	-	1	-	-	-	-	1	-	1	-	1	1	-	-	1	-	-	6
Caddy, Josh	2	1	-	-	-	1	-	-	1	1	1	1	1	2	2	1	2	1	-			17
Clark, Mitch	-	-	3	1		1	1	-	-													6
Cockatoo, Nakia	-	-	-	1		-										-	-	1	-	1	2	5
Cowan, Josh						-															1	1
Duncan, Mitch	1	-	-	-	-	-	-							1	1	-	-					3
Enright, Corey	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Gregson, Cory	-	-	1	-	-	2	-	-	-	-	-	-	2	-	-		1	1	-	1	-	8
Guthrie, Cameron	-	-	1	-	-	-	-	-	-	1	1	-	1	-	-	1	1	-	-	1	-	7
Hawkins, Tom	-	1		2	2	1		2	2	-	-	2	1	-	1	2	2	1	1	-	-	20
Horlin-Smith, George		-		-	-												-	-	-		1	1
Johnson, Steve	2	1	-	-	1	-	-	2	-	1	-	1	-	2	2	2		2	3	-	6	25
Kelly, James	1	-	-	-	-			-	-	-	-		1	3	1	1	-	-		-	-	7
Kersten, Shane					3	-	2	-	-	-	-	1		1	-	-						7
Kolodjashnij, Jake												-		-	-	-	1	-	-	-	-	1
Lang, Darcy	-	-	-	-	-	-	1	-	-	-	-	-	1	-	-	1	1	1	-	-		5
Lonergan, Tom	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	1	1
Luxford, Michael										-		-										
Mackie, Andrew		-						-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Menzel, Daniel																				2	-	2
Motlop, Steven	2		2	2	1	-	1	-	-	-	2	2	1	-	1	-	-	-	-	-	2	16
Murdoch, Jordan			-	-	-	-	-	1	-	-	-	1	-	-	1	-	-	-	-	-		3
Rivers, Jared	-			-	-	-	-	-	-	-	-	-	-					-				
Selwood, Joel	-	1	-	1	-	-	1	-	-	-	1	-	-		1	1	1	-	-	-	1	8
Simpson, Dawson	-	-			-								-									
Smedts, Billie	-	-													-	-						
Stanley, Rhys		1	-	1		-	-	-	-		-											2
Stokes, Mathew	-	-	-				-	-	-	-	-	1	-	-			-	-			1	2
Taylor, Harry	-	-	-	-	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	1	3
Thurlow, Jackson			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Vardy, Nathan																			-	-	-	
Walker, Josh			-	-	1		2			1	1	-	1	1	1	-	-	2	-	-	-	10
Totals	9	5	7	8	9	6	8	6	3	5	7	10	10	11	12	10	9	9	5	5	16	170
Opponent	HW	FR	GC	NM	RI	CW	SY	CA	WC	ES	PA	ME	NM	WB	GW	BL	SY	HW	SK	CW	AD	
